,0
0,52.85714285714286
1,56.060606060606055
2,55.223880597014926
3,56.52173913043478
4,56.060606060606055
5,54.54545454545454
6,54.6875
7,53.84615384615385
8,56.060606060606055
9,55.223880597014926
